,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
5061,FBLN5,ENSG00000140092.14,hsa:10516,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0534,3.6996342399710302
5062,SLC24A4,ENSG00000140090.17,hsa:123041,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3796,-3.210268651661202
5063,SLC24A4,ENSG00000140090.17,hsa:123041,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.3796,-3.210268651661202
5064,CHGA,ENSG00000100604.12,hsa:1113,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4582,-1.9113760963184538
5065,CHGA,ENSG00000100604.12,hsa:1113,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.4582,-1.9113760963184538
5066,ASB2,ENSG00000100628.11,hsa:51676,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0014,0.4195891269836146
5067,ASB2,ENSG00000100628.11,hsa:51676,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,0.0014,0.4195891269836146
5068,OTUB2,ENSG00000089723.9,hsa:78990,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0158,-0.0989492578142314
5069,OTUB2,ENSG00000089723.9,hsa:78990,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,0.0158,-0.0989492578142314
5070,OTUB2,ENSG00000089723.9,hsa:78990,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.0158,-0.0989492578142314
5071,OTUB2,ENSG00000089723.9,hsa:78990,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.0158,-0.0989492578142314
5072,PPP4R4,ENSG00000119698.11,hsa:57718,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0158,-2.385813273650064
5073,PPP4R4,ENSG00000119698.11,hsa:57718,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,0.0158,-2.385813273650064
5074,PPP4R4,ENSG00000119698.11,hsa:57718,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,0.0158,-2.385813273650064
5075,SERPINA10,ENSG00000140093.9,hsa:51156,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-6.160762039872828
5076,SERPINA6,ENSG00000170099.5,hsa:866,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.3884,-4.404859184790642
5077,SERPINA1,ENSG00000197249.12,hsa:5265,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.5836,6.310424698004398
5078,SERPINA1,ENSG00000197249.12,hsa:5265,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.5836,6.310424698004398
5079,SERPINA11,ENSG00000186910.3,hsa:256394,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-6.020524613625062
5080,SERPINA9,ENSG00000170054.14,hsa:327657,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-6.722530859491457
5081,SERPINA4,ENSG00000100665.11,hsa:5267,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.386725259497082
5082,SERPINA5,ENSG00000188488.13,hsa:5104,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6486,-0.19050095419960542
5083,SERPINA5,ENSG00000188488.13,hsa:5104,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,3.6486,-0.19050095419960542
5084,SERPINA3,ENSG00000273259.2,hsa:12,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),10.2123,2.7163982539314415
5085,SERPINA3,ENSG00000196136.16,hsa:12,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.6807,1.9129747522416356
5086,GSC,ENSG00000133937.4,hsa:145258,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4756,-2.5194570188319876
5087,GSC,ENSG00000133937.4,hsa:145258,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.4756,-2.5194570188319876
5088,DICER1,ENSG00000100697.14,hsa:23405,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6703,2.978704730580876
5089,DICER1,ENSG00000100697.14,hsa:23405,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.6703,2.978704730580876
5090,DICER1,ENSG00000100697.14,hsa:23405,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.6703,2.978704730580876
5091,SYNE3,ENSG00000176438.12,hsa:161176,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.4967,-0.3391457897374161
5092,SYNE3,ENSG00000176438.12,hsa:161176,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.4967,-0.3391457897374161
5093,TCL1A,ENSG00000100721.10,hsa:8115,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-2.9151011926433434
5094,BDKRB2,ENSG00000168398.6,hsa:624,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4279,0.9437904357031278
5095,BDKRB2,ENSG00000168398.6,hsa:624,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,2.4279,0.9437904357031278
5096,BDKRB1,ENSG00000100739.10,hsa:623,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5105,-0.9901531149746164
5097,BDKRB1,ENSG00000100739.10,hsa:623,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-1.5105,-0.9901531149746164
5098,ATG2B,ENSG00000066739.11,hsa:55102,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7336,2.0227819180202022
5099,ATG2B,ENSG00000066739.11,hsa:55102,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.7336,2.0227819180202022
5100,ATG2B,ENSG00000066739.11,hsa:55102,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,2.7336,2.0227819180202022
5101,ATG2B,ENSG00000066739.11,hsa:55102,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.7336,2.0227819180202022
5102,AK7,ENSG00000140057.8,hsa:122481,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5951,-0.28242848097805423
5103,AK7,ENSG00000140057.8,hsa:122481,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-1.5951,-0.28242848097805423
5104,AK7,ENSG00000140057.8,hsa:122481,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.5951,-0.28242848097805423
5105,VRK1,ENSG00000100749.7,hsa:7443,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5188,3.3957785392596307
5106,VRK1,ENSG00000100749.7,hsa:7443,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5188,3.3957785392596307
5107,VRK1,ENSG00000100749.7,hsa:7443,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.5188,3.3957785392596307
5108,BCL11B,ENSG00000127152.17,hsa:64919,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.9406,-0.5974237296439151
5109,BCL11B,ENSG00000127152.17,hsa:64919,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.9406,-0.5974237296439151
5110,CYP46A1,ENSG00000036530.8,hsa:10858,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.755,-1.1353746575815042
5111,CYP46A1,ENSG00000036530.8,hsa:10858,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.755,-1.1353746575815042
5112,CYP46A1,ENSG00000036530.8,hsa:10858,0199,Genes and Proteins,Protein families: metabolism,Cytochrome P450,3.755,-1.1353746575815042
5113,EML1,ENSG00000066629.16,hsa:2009,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9663,2.026918073302658
5114,EML1,ENSG00000066629.16,hsa:2009,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,3.9663,2.026918073302658
5115,DEGS2,ENSG00000168350.7,hsa:123099,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7916,1.600668523785268
5116,DEGS2,ENSG00000168350.7,hsa:123099,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.7916,1.600668523785268
5117,DEGS2,ENSG00000168350.7,hsa:123099,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,0.7916,1.600668523785268
5118,SLC25A29,ENSG00000197119.12,hsa:123096,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5844,4.339989160095756
5119,SLC25A29,ENSG00000197119.12,hsa:123096,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.5844,4.339989160095756
5120,SLC25A47,ENSG00000140107.10,hsa:283600,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.233492759567158
5121,SLC25A47,ENSG00000140107.10,hsa:283600,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-5.0116,-5.233492759567158
5122,WARS,ENSG00000140105.17,hsa:7453,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.0298,6.712651492162151
5123,WARS,ENSG00000140105.17,hsa:7453,1000,Genes and Proteins,Protein families: metabolism,Enzymes,7.0298,6.712651492162151
5124,WARS,ENSG00000140105.17,hsa:7453,1007,Genes and Proteins,Protein families: metabolism,Amino acid related enzymes,7.0298,6.712651492162151
5125,WARS,ENSG00000140105.17,hsa:7453,3016,Genes and Proteins,Protein families: genetic information processing,Transfer RNA biogenesis,7.0298,6.712651492162151
5126,DIO3,ENSG00000197406.7,hsa:1735,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.3251,-3.0125353660137715
5127,DIO3,ENSG00000197406.7,hsa:1735,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.3251,-3.0125353660137715
5128,MOK,ENSG00000080823.21,hsa:5891,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.5766,3.2083457936845345
5129,MOK,ENSG00000080823.21,hsa:5891,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.5766,3.2083457936845345
5130,MOK,ENSG00000080823.21,hsa:5891,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.5766,3.2083457936845345
5131,RCOR1,ENSG00000089902.9,hsa:23186,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7972,2.9860150196907393
5132,AMN,ENSG00000166126.10,hsa:81693,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.816,0.8685439729676788
5133,AMN,ENSG00000166126.10,hsa:81693,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-3.816,0.8685439729676788
5134,TNFAIP2,ENSG00000185215.8,hsa:7127,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6485,5.662003785591864
5135,TNFAIP2,ENSG00000185215.8,hsa:7127,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.6485,5.662003785591864
5136,CKB,ENSG00000166165.12,hsa:1152,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),10.2608,7.23516159150981
5137,CKB,ENSG00000166165.12,hsa:1152,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,10.2608,7.23516159150981
5138,CKB,ENSG00000166165.12,hsa:1152,1000,Genes and Proteins,Protein families: metabolism,Enzymes,10.2608,7.23516159150981
5139,XRCC3,ENSG00000126215.13,hsa:7517,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6348,2.7657378060966407
5140,XRCC3,ENSG00000126215.13,hsa:7517,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,2.6348,2.7657378060966407
5141,PPP1R13B,ENSG00000088808.16,hsa:23368,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4144,3.4862297044813597
5142,PPP1R13B,ENSG00000088808.16,hsa:23368,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.4144,3.4862297044813597
5143,TDRD9,ENSG00000156414.18,hsa:122402,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.03,-1.5048578227660392
5144,TDRD9,ENSG00000156414.18,hsa:122402,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.03,-1.5048578227660392
5145,TDRD9,ENSG00000156414.18,hsa:122402,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.03,-1.5048578227660392
5146,ASPG,ENSG00000166183.15,hsa:374569,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-1.2270194495541609
5147,ASPG,ENSG00000166183.15,hsa:374569,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.0116,-1.2270194495541609
5148,KIF26A,ENSG00000066735.14,hsa:26153,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0158,-0.6246126478262569
5149,KIF26A,ENSG00000066735.14,hsa:26153,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,0.0158,-0.6246126478262569
5150,ADSSL1,ENSG00000185100.10,hsa:122622,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7773,2.799042708250259
5151,ADSSL1,ENSG00000185100.10,hsa:122622,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.7773,2.799042708250259
5152,CEP170B,ENSG00000099814.15,hsa:283638,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6962,3.4550606677646623
5153,CEP170B,ENSG00000099814.15,hsa:283638,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.6962,3.4550606677646623
5154,PLD4,ENSG00000166428.12,hsa:122618,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.1993,1.2295339507040488
5155,PLD4,ENSG00000166428.12,hsa:122618,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.1993,1.2295339507040488
5156,PLD4,ENSG00000166428.12,hsa:122618,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.1993,1.2295339507040488
5157,GPR132,ENSG00000183484.11,hsa:29933,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4652,0.4401603575952949
5158,GPR132,ENSG00000183484.11,hsa:29933,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,1.4652,0.4401603575952949
5159,JAG2,ENSG00000184916.8,hsa:3714,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4753,3.320154714429237
5160,NIPA1,ENSG00000170113.15,hsa:123606,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1765,2.294655114277883
5161,NIPA1,ENSG00000170113.15,hsa:123606,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.1765,2.294655114277883
5162,MKRN3,ENSG00000179455.7,hsa:7681,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0323,-3.370363929463346
5163,MKRN3,ENSG00000179455.7,hsa:7681,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,3.0323,-3.370363929463346
5164,MKRN3,ENSG00000179455.7,hsa:7681,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.0323,-3.370363929463346
5165,NDN,ENSG00000182636.5,hsa:4692,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.438,3.189874765084641
5166,SNRPN,ENSG00000128739.20,hsa:6638,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.934,6.208018787930527
5167,ATP10A,ENSG00000206190.11,hsa:57194,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3796,0.5488954079418978
5168,ATP10A,ENSG00000206190.11,hsa:57194,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.3796,0.5488954079418978
5169,GABRB3,ENSG00000166206.13,hsa:2562,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6114,-0.9929145378367178
5170,GABRB3,ENSG00000166206.13,hsa:2562,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,2.6114,-0.9929145378367178
5171,GABRA5,ENSG00000186297.11,hsa:2558,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6187,-5.647672790015996
5172,GABRA5,ENSG00000186297.11,hsa:2558,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,1.6187,-5.647672790015996
5173,GABRG3,ENSG00000182256.12,hsa:2567,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.1811,-4.952869429624731
5174,GABRG3,ENSG00000182256.12,hsa:2567,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-1.1811,-4.952869429624731
5175,APBA2,ENSG00000034053.14,hsa:321,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.3234,1.3254041105416714
5176,APBA2,ENSG00000034053.14,hsa:321,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.3234,1.3254041105416714
5177,TJP1,ENSG00000104067.16,hsa:7082,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.813,4.301707329207841
5178,TJP1,ENSG00000104067.16,hsa:7082,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,5.813,4.301707329207841
5179,ARHGAP11B,ENSG00000187951.10,hsa:89839,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4652,0.8881952502595627
5180,ARHGAP11B,ENSG00000187951.10,hsa:89839,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.4652,0.8881952502595627
5181,FAN1,ENSG00000198690.9,hsa:22909,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2359,2.7100988700768474
5182,FAN1,ENSG00000198690.9,hsa:22909,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.2359,2.7100988700768474
5183,FAN1,ENSG00000198690.9,hsa:22909,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,3.2359,2.7100988700768474
5184,MTMR10,ENSG00000166912.16,hsa:54893,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6497,3.1726805460184613
5185,MTMR10,ENSG00000166912.16,hsa:54893,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,4.6497,3.1726805460184613
5186,TRPM1,ENSG00000134160.13,hsa:4308,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.621895310162259
5187,TRPM1,ENSG00000134160.13,hsa:4308,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-5.0116,-5.621895310162259
5188,OTUD7A,ENSG00000169918.9,hsa:161725,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.5955,-1.6751361201171115
5189,OTUD7A,ENSG00000169918.9,hsa:161725,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,0.5955,-1.6751361201171115
5190,OTUD7A,ENSG00000169918.9,hsa:161725,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.5955,-1.6751361201171115
5191,OTUD7A,ENSG00000169918.9,hsa:161725,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.5955,-1.6751361201171115
5192,CHRNA7,ENSG00000175344.16,hsa:1139,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1504,-1.507833680235383
5193,CHRNA7,ENSG00000175344.16,hsa:1139,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-0.1504,-1.507833680235383
5194,ARHGAP11A,ENSG00000198826.10,hsa:9824,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.1734,1.757867080580768
5195,ARHGAP11A,ENSG00000198826.10,hsa:9824,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.1734,1.757867080580768
5196,GREM1,ENSG00000166923.10,hsa:26585,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5332,0.0699808545421324
5197,FMN1,ENSG00000248905.8,hsa:342184,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.03,0.44398438532227336
5198,FMN1,ENSG00000248905.8,hsa:342184,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,0.03,0.44398438532227336
5199,RYR3,ENSG00000198838.11,hsa:6263,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7233,-2.8320548312810496
5200,RYR3,ENSG00000198838.11,hsa:6263,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,0.7233,-2.8320548312810496
5201,CHRM5,ENSG00000184984.9,hsa:1133,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-4.632296221358511
5202,CHRM5,ENSG00000184984.9,hsa:1133,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-4.035,-4.632296221358511
5203,SLC12A6,ENSG00000140199.11,hsa:9990,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1028,2.4280508407423214
5204,SLC12A6,ENSG00000140199.11,hsa:9990,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,3.1028,2.4280508407423214
5205,LPCAT4,ENSG00000176454.13,hsa:254531,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7105,4.493858179994335
5206,LPCAT4,ENSG00000176454.13,hsa:254531,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.7105,4.493858179994335
5207,LPCAT4,ENSG00000176454.13,hsa:254531,1004,Genes and Proteins,Protein families: metabolism,Lipid biosynthesis proteins,3.7105,4.493858179994335
5208,ACTC1,ENSG00000159251.6,hsa:70,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1706,-2.0865358042724864
5209,ACTC1,ENSG00000159251.6,hsa:70,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,1.1706,-2.0865358042724864
5210,ACTC1,ENSG00000159251.6,hsa:70,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,1.1706,-2.0865358042724864
5211,MEIS2,ENSG00000134138.19,hsa:4212,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3716,2.5228997974616854
5212,MEIS2,ENSG00000134138.19,hsa:4212,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.3716,2.5228997974616854
5213,SPRED1,ENSG00000166068.12,hsa:161742,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4887,2.6534222919753483
5214,SPRED1,ENSG00000166068.12,hsa:161742,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,4.4887,2.6534222919753483
5215,RASGRP1,ENSG00000172575.11,hsa:10125,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4171,0.34689733785519633
5216,THBS1,ENSG00000137801.10,hsa:7057,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.479,4.241975483743436
5217,THBS1,ENSG00000137801.10,hsa:7057,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.479,4.241975483743436
5218,THBS1,ENSG00000137801.10,hsa:7057,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,4.479,4.241975483743436
5219,GPR176,ENSG00000166073.8,hsa:11245,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7073,1.6962990942076863
5220,GPR176,ENSG00000166073.8,hsa:11245,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,2.7073,1.6962990942076863
5221,BMF,ENSG00000104081.13,hsa:90427,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6325,2.5830763735999778
5222,BUB1B,ENSG00000156970.12,hsa:701,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5561,1.884128267624827
5223,BUB1B,ENSG00000156970.12,hsa:701,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5561,1.884128267624827
5224,BUB1B,ENSG00000156970.12,hsa:701,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.5561,1.884128267624827
5225,BUB1B,ENSG00000156970.12,hsa:701,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,2.5561,1.884128267624827
5226,PAK6,ENSG00000259288.5,hsa:56924,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6145,-0.12981740985166387
5227,PAK6,ENSG00000259288.5,hsa:56924,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.6145,-0.12981740985166387
5228,PAK6,ENSG00000259288.5,hsa:56924,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,0.6145,-0.12981740985166387
5229,PAK6,ENSG00000137843.11,hsa:56924,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7446,-0.0728440729435406
5230,PAK6,ENSG00000137843.11,hsa:56924,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.7446,-0.0728440729435406
5231,PAK6,ENSG00000137843.11,hsa:56924,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.7446,-0.0728440729435406
5232,PLCB2,ENSG00000137841.11,hsa:5330,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.6988,2.7380111727836076
5233,PLCB2,ENSG00000137841.11,hsa:5330,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.6988,2.7380111727836076
5234,PLCB2,ENSG00000137841.11,hsa:5330,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.6988,2.7380111727836076
5235,IVD,ENSG00000128928.8,hsa:3712,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.7388,4.966314420610978
5236,IVD,ENSG00000128928.8,hsa:3712,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.7388,4.966314420610978
5237,RAD51,ENSG00000051180.16,hsa:5888,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1162,2.0906849203487083
5238,RAD51,ENSG00000051180.16,hsa:5888,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,3.1162,2.0906849203487083
5239,RAD51,ENSG00000051180.16,hsa:5888,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.1162,2.0906849203487083
5240,RAD51,ENSG00000051180.16,hsa:5888,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,3.1162,2.0906849203487083
5241,PPP1R14D,ENSG00000166143.9,hsa:54866,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-2.1612676867996172
5242,PPP1R14D,ENSG00000166143.9,hsa:54866,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-9.9658,-2.1612676867996172
5243,SPINT1,ENSG00000166145.14,hsa:6692,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.595,5.255984436342137
5244,RHOV,ENSG00000104140.6,hsa:171177,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.5479,1.0060236284201247
5245,RHOV,ENSG00000104140.6,hsa:171177,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-2.5479,1.0060236284201247
5246,RHOV,ENSG00000104140.6,hsa:171177,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,-2.5479,1.0060236284201247
5247,DLL4,ENSG00000128917.6,hsa:54567,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6441,2.0334122582430516
5248,CHAC1,ENSG00000128965.11,hsa:79094,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.679,1.556046478103667
5249,CHAC1,ENSG00000128965.11,hsa:79094,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.679,1.556046478103667
